"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
Mouse,63920719,,144,
mango,72782608,,1418,
Earphone,85415108,,100,
"Baby doll",31261512,,73,
lychee,38314290,,171,
potato,212132,,49,
iphone-X,97103461,11101/11102/11103//7001,27,
"Galaxy S9",72100265,,25,
Shoe,90471412,,12,
"Polo Shirt",53467102,,14,
Toothpaste,859875003032,,9,
tissue,8941161008066,,16,
T-shirt,93475396,,2,
T-shirt,93475396,,4,
T-shirt,93475396,,3,
"Test variant",81145830,,2,
TV,32703342,,8,
testvar,32081679,,2,
Napa,41930312,,18,
Napa,41930312,,3,
Napa,41930312,,2,
"Denim Jeans",19243053,,4,
iphone-X,97103461,,1,
"Cotton Punjabi",82490498,,0,
"Cotton Punjabi",82490498,,1,
"Iphone 14",17628500,,9,
"Iphone 14",17628500,,10,
"Iphone 14",17628500,,9,
vvggvv,51649023,,50,
vvggvv,51649023,,100,
"Cotton Punjabi",82490498,,1,
Napa,41930312,,1,
Test,48757032,,0,
"Alpha Cheese",2000004,,200,
"Áo Soirea",19311243,,16,
"Macbook Air M1 2021",16925623,,0,
"Macbook Air M1 2021",16925623,,3,
"Lenovo Thinkpad L380",92913565,,0,
"Lenovo Thinkpad L380",92913565,,0,
