"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
lychee,38314290,,119,
mango,72782608,,1785,
Mouse,63920719,,38,
Earphone,85415108,,40,
"Baby doll",31261512,,54,
potato,212132,,59.5,
iphone-X,97103461,7001,9,
"Galaxy S9",72100265,,20,
Shoe,90471412,,10,
"Polo Shirt",53467102,,10,
Toothpaste,859875003032,,19,
tissue,8941161008066,,22,
T-shirt,93475396,,9,
T-shirt,93475396,,8,
T-shirt,93475396,,9,
TV,32703342,,8,
"Test variant",81145830,,1,
Napa,41930312,,4,
Napa,41930312,,0,
"Denim Jeans",19243053,,21,
"Alpha Cheese",2000004,,12,
