"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
lychee,38314290,,113,
mango,72782608,,1605,
Mouse,63920719,,18,
Earphone,85415108,,27,
"Baby doll",31261512,,49,
potato,212132,,52.5,
iphone-X,97103461,7001,3,
"Galaxy S9",72100265,,21,
Shoe,90471412,,8,
"Polo Shirt",53467102,,10,
Toothpaste,859875003032,,18,
tissue,8941161008066,,22,
T-shirt,93475396,,9,
T-shirt,93475396,,8,
T-shirt,93475396,,9,
TV,32703342,,5,
"Test variant",81145830,,1,
Napa,41930312,,2,
Napa,41930312,,0,
"Denim Jeans",19243053,,16,
"Alpha Cheese",2000004,,12,
