"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
Mouse,63920719,,1143,
mango,72782608,,2335,
Earphone,85415108,,93,
"Baby doll",31261512,,70,
lychee,38314290,,166,
potato,212132,,44,
iphone-X,97103461,11101/11102/11103//7001,24,
"Galaxy S9",72100265,,23,
"Test variant",81145830,,1,
TV,32703342,,8,
Napa,41930312,,18,
Napa,41930312,,3,
Napa,41930312,,2,
iphone-X,97103461,,1,
"Iphone 14",17628500,,9,
"Iphone 14",17628500,,10,
"Iphone 14",17628500,,10,
ghghh,03927206,,0,
demo,92120982,,8,
