"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
Mouse,63920719,,1157,
mango,72782608,,2407,
Earphone,85415108,,104,
"Baby doll",31261512,,72,
lychee,38314290,,171,
potato,212132,,49,
iphone-X,97103461,11101/11102/11103//7001,28,
"Galaxy S9",72100265,,25,
Shoe,90471412,,13,
"Polo Shirt",53467102,,13,
Toothpaste,859875003032,,10,
tissue,8941161008066,,16,
T-shirt,93475396,,2,
T-shirt,93475396,,5,
T-shirt,93475396,,2,
"Test variant",81145830,,1,
TV,32703342,,8,
testvar,32081679,,1,
Napa,41930312,,18,
Napa,41930312,,3,
Napa,41930312,,2,
"Denim Jeans",19243053,,5,
iphone-X,97103461,,1,
"Cotton Punjabi",82490498,,0,
"Cotton Punjabi",82490498,,1,
"Iphone 14",17628500,,9,
"Iphone 14",17628500,,10,
"Iphone 14",17628500,,10,
ghghh,03927206,,0,
demo,92120982,,10,
