"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
Mouse,63920719,,141,
mango,72782608,,1154,
Earphone,85415108,,101,
"Baby doll",31261512,,69,
lychee,38314290,,168,
potato,212132,,49,
iphone-X,97103461,11101/11102/11103//7001,18,
"Galaxy S9",72100265,,21,
Shoe,90471412,,12,
"Polo Shirt",53467102,,14,
Toothpaste,859875003032,,10,
tissue,8941161008066,,16,
T-shirt,93475396,,2,
T-shirt,93475396,,5,
T-shirt,93475396,,3,
"Test variant",81145830,,2,
TV,32703342,,8,
testvar,32081679,,1,
Napa,41930312,,17,
Napa,41930312,,3,
Napa,41930312,,2,
"Denim Jeans",19243053,,2,
iphone-X,97103461,,1,
"Cotton Punjabi",82490498,,0,
"Cotton Punjabi",82490498,,0,
"Iphone 14",17628500,,9,
"Iphone 14",17628500,,9,
"Iphone 14",17628500,,8,
"oraimo f22p",27,,5,
