"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
Mouse,63920719,,146,
mango,72782608,,1430,
Earphone,85415108,,97,
"Baby doll",31261512,,195,
lychee,38314290,,171,
potato,212132,,50,
iphone-X,97103461,11101/11102/11103//7001,29,
"Galaxy S9",72100265,,22,
"Test variant",81145830,,2,
TV,32703342,,8,
Napa,41930312,,18,
Napa,41930312,,3,
Napa,41930312,,2,
iphone-X,97103461,,1,
"Iphone 14",17628500,,9,
"Iphone 14",17628500,,10,
"Iphone 14",17628500,,8,
"Alpha Cheese",2000004,,20,
