"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
lychee,38314290,,114,
mango,72782608,,1545,
Mouse,63920719,,21,
Earphone,85415108,,51,
"Baby doll",31261512,,50,
potato,212132,,48.5,
iphone-X,97103461,7001,1,
"Galaxy S9",72100265,,18,
Shoe,90471412,,4,
"Polo Shirt",53467102,,9,
Toothpaste,859875003032,,19,
tissue,8941161008066,,22,
T-shirt,93475396,,9,
T-shirt,93475396,,8,
T-shirt,93475396,,9,
TV,32703342,,5,
"Test variant",81145830,,1,
Napa,41930312,,4,
Napa,41930312,,0,
"Denim Jeans",19243053,,19,
"Alpha Cheese",2000004,,12,
Panjabi,90297630,,10,
