"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
Mouse,63920719,,136,
mango,72782608,,1466,
Earphone,85415108,,100,
"Baby doll",31261512,,76,
lychee,38314290,,168,
potato,212132,,44,
iphone-X,97103461,11101/11102/11103//7001,-475,
"Galaxy S9",72100265,,24,
Shoe,90471412,,10,
"Polo Shirt",53467102,,10,
Toothpaste,859875003032,,10,
tissue,8941161008066,,16,
T-shirt,93475396,,2,
T-shirt,93475396,,4,
T-shirt,93475396,,1,
"Test variant",81145830,,2,
TV,32703342,,6,
testvar,32081679,,1,
Napa,41930312,,18,
Napa,41930312,,3,
Napa,41930312,,2,
"Denim Jeans",19243053,,3,
iphone-X,97103461,,1,
"Cotton Punjabi",82490498,,0,
"Cotton Punjabi",82490498,,1,
"Iphone 14",17628500,,8,
"Iphone 14",17628500,,10,
"Iphone 14",17628500,,9,
