"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
Mouse,63920719,,138,
mango,72782608,,1370,
Earphone,85415108,,89,
"Baby doll",31261512,,68,
lychee,38314290,,165,
potato,212132,,48,
iphone-X,97103461,11101/11102/11103//7001,26,
"Galaxy S9",72100265,,22,
Shoe,90471412,,12,
"Polo Shirt",53467102,,114,
Toothpaste,859875003032,,10,
tissue,8941161008066,,16,
T-shirt,93475396,,2,
T-shirt,93475396,,5,
T-shirt,93475396,,3,
"Test variant",81145830,,2,
TV,32703342,,6,
testvar,32081679,,1,
Napa,41930312,,17,
Napa,41930312,,3,
Napa,41930312,,2,
"Denim Jeans",19243053,,0,
iphone-X,97103461,,1,
"Cotton Punjabi",82490498,,0,
"Cotton Punjabi",82490498,,0,
"Iphone 14",17628500,,9,
"Iphone 14",17628500,,9,
"Iphone 14",17628500,,8,
Color,95161443,,4,
fifo,19031337,,4,
