"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
lychee,38314290,,112,
mango,72782608,,1497,
Mouse,63920719,,26,
Earphone,85415108,,34,
"Baby doll",31261512,,51,
potato,212132,,54.5,
iphone-X,97103461,7001,4,
"Galaxy S9",72100265,,16,
Shoe,90471412,,7,
"Polo Shirt",53467102,,9,
Toothpaste,859875003032,,22,
tissue,8941161008066,,22,
T-shirt,93475396,,9,
T-shirt,93475396,,7,
T-shirt,93475396,,9,
TV,32703342,,4,
"Test variant",81145830,,0,
Napa,41930312,,4,
Napa,41930312,,0,
"Denim Jeans",19243053,,16,
"Alpha Cheese",2000004,,12,
test1,99062285,,999,
"Coconut tree",322844,,9,
