"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
lychee,38314290,,117,
mango,72782608,,1569,
Mouse,63920719,,19,
Earphone,85415108,,34,
"Baby doll",31261512,,52,
potato,212132,,55.5,
iphone-X,97103461,7001,8,
"Galaxy S9",72100265,,20,
Shoe,90471412,,1,
"Polo Shirt",53467102,,9,
Toothpaste,859875003032,,19,
tissue,8941161008066,,22,
T-shirt,93475396,,9,
T-shirt,93475396,,8,
T-shirt,93475396,,8,
TV,32703342,,4,
"Test variant",81145830,,1,
Napa,41930312,,4,
Napa,41930312,,0,
"Denim Jeans",19243053,,18,
"Alpha Cheese",2000004,,12,
AAAA,31523812,,50,
