"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
Mouse,63920719,,143,
mango,72782608,,1454,
Earphone,85415108,,99,
"Baby doll",31261512,,61,
lychee,38314290,,170,
potato,212132,,46,
iphone-X,97103461,11101/11102/11103//7001,44,
"Galaxy S9",72100265,,25,
Shoe,90471412,,13,
"Polo Shirt",53467102,,14,
Toothpaste,859875003032,,10,
tissue,8941161008066,,15,
T-shirt,93475396,,3,
T-shirt,93475396,,4,
T-shirt,93475396,,4,
"Test variant",81145830,,2,
TV,32703342,,8,
testvar,32081679,,1,
Napa,41930312,,18,
Napa,41930312,,3,
Napa,41930312,,2,
"Denim Jeans",19243053,,4,
iphone-X,97103461,,1,
"Cotton Punjabi",82490498,,0,
"Cotton Punjabi",82490498,,1,
"Iphone 14",17628500,,9,
"Iphone 14",17628500,,10,
"Iphone 14",17628500,,9,
"Alpha Cheese",2000004,,0,
Mouse12,0012,,3,
"Soya Superem",SS01,,10,
"jbl 99 headset",N,,0,
